movie_odid,display_name,domain,id
139970100,La siciliana ribelle,the-numbers.com/movie,siciliana-ribelle-La
139970100,La siciliana ribelle,EIDR,10.5240/3D8D-BCE7-AB71-9291-F4E0-I
139970100,La siciliana ribelle,warnerbros.com/MPM,2051654
139970100,La siciliana ribelle,veronicamagazine.nl,846593
139970100,La siciliana ribelle,IMDB,tt1213926
139970100,La siciliana ribelle,IVA,777828
139970100,La siciliana ribelle,amazon.com,B00BK0UROI
139970100,La siciliana ribelle,flixster.com,770807714
139970100,La siciliana ribelle,netflix.com,70128366
139970100,La siciliana ribelle,thecinemasource.com,74506
139970100,La siciliana ribelle,lumiere.obs.coe.int,31760
139970100,La siciliana ribelle,webedia-group.com,126391
139970100,La siciliana ribelle,ISAN,0000-0002-DDC5-0000-V-0000-0000-I
139970100,La siciliana ribelle,sfi.se,76461
139970100,La siciliana ribelle,wikidata.org,Q182284
139970100,La siciliana ribelle,opusdata.com/movie,139970100
139980100,"The Twilight Saga: Breaking Dawn, Part 1",commonsense.org/nid,1262716
139980100,"The Twilight Saga: Breaking Dawn, Part 1",commonsense.org/uuid,feee4012-9291-448c-a6db-a6bbc8ea4f27
139980100,"The Twilight Saga: Breaking Dawn, Part 1",IMDB,tt1324999
139980100,"The Twilight Saga: Breaking Dawn, Part 1",IVA,149755
139980100,"The Twilight Saga: Breaking Dawn, Part 1",amazon.com,B006TLFPKO
139980100,"The Twilight Saga: Breaking Dawn, Part 1",flixster.com,771040381
139980100,"The Twilight Saga: Breaking Dawn, Part 1",netflix.com,70202142
139980100,"The Twilight Saga: Breaking Dawn, Part 1",thecinemasource.com,94731
139980100,"The Twilight Saga: Breaking Dawn, Part 1",warnerbros.com/MPM,2059531
139980100,"The Twilight Saga: Breaking Dawn, Part 1",decellc.com,urn:dece:alid:org:lionsgate:2550035
139980100,"The Twilight Saga: Breaking Dawn, Part 1",comcast.com,5030486860108828112
139980100,"The Twilight Saga: Breaking Dawn, Part 1",spe.sony.com/ProductID,959176
139980100,"The Twilight Saga: Breaking Dawn, Part 1",ISAN,0000-0002-F3D1-0000-2-0000-0000-V
139980100,"The Twilight Saga: Breaking Dawn, Part 1",spe.sony.com/MPM,X8342700000
139980100,"The Twilight Saga: Breaking Dawn, Part 1",lumiere.obs.coe.int,37041
139980100,"The Twilight Saga: Breaking Dawn, Part 1",allocine.fr/movie,146214
139980100,"The Twilight Saga: Breaking Dawn, Part 1",vivendi.com/codemilo,25119
139980100,"The Twilight Saga: Breaking Dawn, Part 1",sfi.se,74890
139980100,"The Twilight Saga: Breaking Dawn, Part 1",dfi.dk/movie,74628
139980100,"The Twilight Saga: Breaking Dawn, Part 1",the-numbers.com/movie,Twilight-Saga-Breaking-Dawn-Part-1-The
139980100,"The Twilight Saga: Breaking Dawn, Part 1",EIDR,10.5240/8F68-1B8F-76E0-ECF4-C436-O
139990100,"The Twilight Saga: Breaking Dawn, Part 2",commonsense.org/nid,3468491
139990100,"The Twilight Saga: Breaking Dawn, Part 2",commonsense.org/uuid,b27fb4c2-a3f2-47a6-b563-6a40b58f55ff
139990100,"The Twilight Saga: Breaking Dawn, Part 2",warnerbros.com/MPM,2062489
139990100,"The Twilight Saga: Breaking Dawn, Part 2",amazon.com,B00BLQQQJ6
139990100,"The Twilight Saga: Breaking Dawn, Part 2",IVA,151421
139990100,"The Twilight Saga: Breaking Dawn, Part 2",IMDB,tt1673434
139990100,"The Twilight Saga: Breaking Dawn, Part 2",flixster.com,771202607
139990100,"The Twilight Saga: Breaking Dawn, Part 2",netflix.com,70206632
139990100,"The Twilight Saga: Breaking Dawn, Part 2",thecinemasource.com,141568
139990100,"The Twilight Saga: Breaking Dawn, Part 2",sho.com/MovieID,3356800
139990100,"The Twilight Saga: Breaking Dawn, Part 2",decellc.com,urn:dece:cid:org:lionsgate:2550036
139990100,"The Twilight Saga: Breaking Dawn, Part 2",comcast.com,8775054658872087112
139990100,"The Twilight Saga: Breaking Dawn, Part 2",spe.sony.com/ProductID,1202133
139990100,"The Twilight Saga: Breaking Dawn, Part 2",ISAN,0000-0003-5BA7-0000-F-0000-0000-T
139990100,"The Twilight Saga: Breaking Dawn, Part 2",spe.sony.com/MPM,XB102800000
139990100,"The Twilight Saga: Breaking Dawn, Part 2",lumiere.obs.coe.int,40117
139990100,"The Twilight Saga: Breaking Dawn, Part 2",allocine.fr/movie,182749
139990100,"The Twilight Saga: Breaking Dawn, Part 2",vivendi.com/codemilo,25120
139990100,"The Twilight Saga: Breaking Dawn, Part 2",the-numbers.com/movie,Twilight-Saga-Breaking-Dawn-Part-2-The
139990100,"The Twilight Saga: Breaking Dawn, Part 2",EIDR,10.5240/02D8-62D5-555F-C358-ED60-V
140020100,Helena From the Wedding,the-numbers.com/movie,Helena-From-the-Wedding
140020100,Helena From the Wedding,EIDR,10.5240/44B1-8555-44F4-DB6E-BAE2-7
140020100,Helena From the Wedding,IMDB,tt1394211
140020100,Helena From the Wedding,flixster.com,770874169
140020100,Helena From the Wedding,netflix.com,70134635
140020100,Helena From the Wedding,thecinemasource.com,90218
140020100,Helena From the Wedding,lumiere.obs.coe.int,36925
140020100,Helena From the Wedding,webedia-group.com,186305
140020100,Helena From the Wedding,tcm.com,796481
140020100,Helena From the Wedding,opusdata.com/movie,140020100
140030100,Monsters,IVA,415718
140030100,Monsters,amazon.com,B0044BY98K
140030100,Monsters,flixster.com,771039394
140030100,Monsters,netflix.com,70135635
140030100,Monsters,thecinemasource.com,90255
140030100,Monsters,warnerbros.com/MPM,2056471
140030100,Monsters,veronicamagazine.nl,847937
140030100,Monsters,redbeemedia.com,31167076
140030100,Monsters,bfi.org.uk,150760159
140030100,Monsters,paramount.com/mpm,2500035831
140030100,Monsters,spe.sony.com/ProductID,68820
140030100,Monsters,IMDB,tt1470827
140030100,Monsters,spe.sony.com/MPM,X1310800000
140030100,Monsters,lumiere.obs.coe.int,34964
140030100,Monsters,allocine.fr/movie,183325
140030100,Monsters,ISAN,0000-0002-A32C-0000-Q-0000-0000-X
140030100,Monsters,wikidata.org,Q1460092
140030100,Monsters,dfi.dk/movie,70390
140030100,Monsters,the-numbers.com/movie,Monsters
140030100,Monsters,EIDR,10.5240/7ECE-8DE7-299D-8773-1BE0-Y
140040100,Catfish,IVA,83187
140040100,Catfish,amazon.com,B004FP1WX0
140040100,Catfish,flixster.com,770856706
140040100,Catfish,netflix.com,70129454
140040100,Catfish,thecinemasource.com,86607
140040100,Catfish,IMDB,tt1584016
140040100,Catfish,veronicamagazine.nl,847506
140040100,Catfish,redbeemedia.com,48657862
140040100,Catfish,comcast.com,5252424871132816112
140040100,Catfish,spe.sony.com/ProductID,954077
140040100,Catfish,nbcuni.com/sgenno,386853
140040100,Catfish,lumiere.obs.coe.int,35072
140040100,Catfish,allocine.fr/movie,181456
140040100,Catfish,ISAN,0000-0002-A145-0000-Z-0000-0000-6
140040100,Catfish,the-numbers.com/movie,Catfish
140040100,Catfish,EIDR,10.5240/06BF-45C3-579F-B202-FFE9-S
140050100,Red,commonsense.org/nid,1262236
140050100,Red,commonsense.org/uuid,53f264ad-5b3e-41b6-bec5-8edd3b55a4d0
140050100,Red,IVA,995080
140050100,Red,IMDB,tt1245526
140050100,Red,amazon.com,B003EN1EWS
140050100,Red,flixster.com,770860164
140050100,Red,netflix.com,70139377
140050100,Red,thecinemasource.com,87130
140050100,Red,warnerbros.com/MPM,2056035
140050100,Red,veronicamagazine.nl,847310
140050100,Red,redbeemedia.com,92960969
140050100,Red,media-press.tv/ContentId,1684461
140050100,Red,decellc.com,urn:dece:cid:org:lionsgate:2550024
140050100,Red,comcast.com,7657087219114422112
140050100,Red,spe.sony.com/ProductID,948685
140050100,Red,spe.sony.com/MPM,XA018500000
140050100,Red,lumiere.obs.coe.int,34923
140050100,Red,allocine.fr/movie,146229
140050100,Red,ISAN,0000-0002-A1B0-0000-6-0000-0000-J
140050100,Red,the-numbers.com/movie,Red-(2010)
140050100,Red,EIDR,10.5240/47AC-B055-1206-56D3-640D-S
140060100,Freakonomics,the-numbers.com/movie,Freakonomics
140060100,Freakonomics,EIDR,10.5240/1024-4C6D-D7C1-3A2E-BE49-A
140060100,Freakonomics,commonsense.org/nid,1262339
140060100,Freakonomics,commonsense.org/uuid,5a9d4ed5-ef41-45f1-8b94-48b89f2d140a
140060100,Freakonomics,IMDB,tt1152822
140060100,Freakonomics,IVA,222648
140060100,Freakonomics,amazon.com,B004JM9CUE
140060100,Freakonomics,flixster.com,770767771
140060100,Freakonomics,netflix.com,70095133
140060100,Freakonomics,thecinemasource.com,91870
140060100,Freakonomics,amazon.com,B0041RBNPE
140060100,Freakonomics,redbeemedia.com,40675010
140060100,Freakonomics,lumiere.obs.coe.int,35213
140060100,Freakonomics,webedia-group.com,183527
140060100,Freakonomics,vivendi.com/codemilo,24349
140060100,Freakonomics,ISAN,0000-0002-A328-0000-6-0000-0000-J
140060100,Freakonomics,citwf.com,463440
140060100,Freakonomics,tcm.com,737112
140060100,Freakonomics,opusdata.com/movie,140060100
140070100,The Warrior's Way,commonsense.org/nid,1262502
140070100,The Warrior's Way,commonsense.org/uuid,b0ec90e9-cb1c-4755-80b1-2e77ffd53574
140070100,The Warrior's Way,IVA,232449
140070100,The Warrior's Way,warnerbros.com/MPM,2062061
140070100,The Warrior's Way,amazon.com,B0057UIUAK
140070100,The Warrior's Way,flixster.com,770808479
140070100,The Warrior's Way,netflix.com,70118355
140070100,The Warrior's Way,thecinemasource.com,99924
140070100,The Warrior's Way,IMDB,tt1032751
140070100,The Warrior's Way,veronicamagazine.nl,850306
140070100,The Warrior's Way,redbeemedia.com,34538166
140070100,The Warrior's Way,sho.com/MovieID,3406209
140070100,The Warrior's Way,decellc.com,urn:dece:cid:org:relativitymedia:thewarriorsway_2010
140070100,The Warrior's Way,comcast.com,8906655659382875112
140070100,The Warrior's Way,spe.sony.com/ProductID,1018266
140070100,The Warrior's Way,ISAN,0000-0002-C34D-0000-5-0000-0000-M
140070100,The Warrior's Way,spe.sony.com/MPM,X7675000000
140070100,The Warrior's Way,lumiere.obs.coe.int,35044
140070100,The Warrior's Way,allocine.fr/movie,185083
140070100,The Warrior's Way,vivendi.com/codemilo,25061
140070100,The Warrior's Way,the-numbers.com/movie,Warriors-Way-The
140070100,The Warrior's Way,EIDR,10.5240/0BEF-EB22-973D-393A-ABA5-F
140080100,Stone,commonsense.org/nid,1262367
140080100,Stone,commonsense.org/uuid,2714792d-560b-497d-964b-13a6cc9c1c3b
140080100,Stone,IVA,866009
140080100,Stone,IMDB,tt1423995
140080100,Stone,amazon.com,B004JMGOO6
140080100,Stone,flixster.com,770871631
140080100,Stone,netflix.com,70124975
140080100,Stone,thecinemasource.com,89404
140080100,Stone,warnerbros.com/MPM,2056312
140080100,Stone,veronicamagazine.nl,848168
140080100,Stone,redbeemedia.com,29487932
140080100,Stone,decellc.com,urn:dece:cid:org:anchorbayent:STONE_M
140080100,Stone,comcast.com,8348996242960604112
140080100,Stone,spe.sony.com/ProductID,1018302
140080100,Stone,lumiere.obs.coe.int,35336
140080100,Stone,allocine.fr/movie,145920
140080100,Stone,ISAN,0000-0002-B277-0000-Y-0000-0000-9
140080100,Stone,lionsgate.com,1160235
140080100,Stone,the-numbers.com/movie,Stone
140080100,Stone,EIDR,10.5240/68D6-274D-56DB-A50C-122E-N
140090100,Frankenweenie,disney.com/MPM-P,750000026915
140090100,Frankenweenie,amazon.com,B00AYDC3CG
140090100,Frankenweenie,veronicamagazine.nl,849542
140090100,Frankenweenie,netflix.com,70219496
140090100,Frankenweenie,IVA,727729
140090100,Frankenweenie,redbeemedia.com,51328632
140090100,Frankenweenie,IMDB,tt1142977
140090100,Frankenweenie,flixster.com,771205894
140090100,Frankenweenie,thecinemasource.com,132653
140090100,Frankenweenie,comcast.com,7088302382425877112
140090100,Frankenweenie,spe.sony.com/ProductID,1074146
140090100,Frankenweenie,spe.sony.com/MPM,N2729800000
140090100,Frankenweenie,lumiere.obs.coe.int,38886
140090100,Frankenweenie,allocine.fr/movie,132661
140090100,Frankenweenie,the-numbers.com/movie,Frankenweenie
140090100,Frankenweenie,EIDR,10.5240/36E5-2D1D-7092-0515-C1C4-S
140100100,John Carter,commonsense.org/nid,2555916
140100100,John Carter,commonsense.org/uuid,c082c931-645b-45ad-9a2b-0b9b31fa7208
140100100,John Carter,IVA,959716
140100100,John Carter,amazon.com,B0088RQ4X4
140100100,John Carter,veronicamagazine.nl,848943
140100100,John Carter,IMDB,tt0401729
140100100,John Carter,redbeemedia.com,47321828
140100100,John Carter,media-press.tv/ContentId,3714479
140100100,John Carter,flixster.com,770801433
140100100,John Carter,netflix.com,70143369
140100100,John Carter,thecinemasource.com,131893
140100100,John Carter,comcast.com,7691168703341610112
140100100,John Carter,spe.sony.com/ProductID,1074147
140100100,John Carter,spe.sony.com/MPM,N2728300000
140100100,John Carter,lumiere.obs.coe.int,38866
140100100,John Carter,allocine.fr/movie,137263
140100100,John Carter,the-numbers.com/movie,John-Carter-of-Mars
140100100,John Carter,EIDR,10.5240/C7A3-D8D4-22A8-BF22-D8C0-V
140110100,Dolphin Tale,commonsense.org/nid,2133990
140110100,Dolphin Tale,commonsense.org/uuid,44a802cc-29eb-459a-9921-0d8dcddcf7eb
140110100,Dolphin Tale,IVA,918441
140110100,Dolphin Tale,IMDB,tt1564349
140110100,Dolphin Tale,amazon.com,B0064J63DY
140110100,Dolphin Tale,flixster.com,771205892
140110100,Dolphin Tale,netflix.com,70202147
140110100,Dolphin Tale,thecinemasource.com,100060
140110100,Dolphin Tale,warnerbros.com/MPM,2054982
140110100,Dolphin Tale,redbeemedia.com,47475084
140110100,Dolphin Tale,comcast.com,5858848372855837112
140110100,Dolphin Tale,spe.sony.com/ProductID,1074148
140110100,Dolphin Tale,lumiere.obs.coe.int,37080
140110100,Dolphin Tale,allocine.fr/movie,184342
140110100,Dolphin Tale,the-numbers.com/movie,Dolphin-Tale
140110100,Dolphin Tale,EIDR,10.5240/CB9C-1935-FF5C-7871-1020-I
140120100,Altiplano,flixster.com,770814376
140120100,Altiplano,IMDB,tt1318022
140120100,Altiplano,IVA,589804
140120100,Altiplano,netflix.com,70153655
140120100,Altiplano,thecinemasource.com,78638
140120100,Altiplano,lumiere.obs.coe.int,33365
140120100,Altiplano,allocine.fr/movie,145922
140120100,Altiplano,ISAN,0000-0003-A9A6-0000-Y-0000-0000-9
140120100,Altiplano,the-numbers.com/movie,Altiplano
140120100,Altiplano,EIDR,10.5240/3797-AFF8-D7D4-35CF-04AC-E
181330100,Penguins of Madagascar,commonsense.org/nid,4975666
181330100,Penguins of Madagascar,commonsense.org/uuid,023bc9bd-f350-4fe7-bfa0-5985d6c76464
181330100,Penguins of Madagascar,foxipedia.com/wprid,132242
181330100,Penguins of Madagascar,paramount.com/mpm,2500030208
181330100,Penguins of Madagascar,comcast.com,7621771710067700112
181330100,Penguins of Madagascar,IMDB,tt1911658
181330100,Penguins of Madagascar,nbcuni.com/sgenno,575355
181330100,Penguins of Madagascar,lumiere.obs.coe.int,46804
181330100,Penguins of Madagascar,allocine.fr/movie,192324
181330100,Penguins of Madagascar,the-numbers.com/movie,Penguins-of-Madagascar
181330100,Penguins of Madagascar,EIDR,10.5240/1508-2D79-1011-132A-1CC5-C
180630100,Minions,commonsense.org/nid,5048111
180630100,Minions,commonsense.org/uuid,ad3dab8b-c657-449a-bffc-e1bfd0b954a3
180630100,Minions,nbcuni.com/sgenno,421956
180630100,Minions,IVA,729946
180630100,Minions,thecinemasource.com,154056
180630100,Minions,IMDB,tt2293640
180630100,Minions,bfi.org.uk,154419501
180630100,Minions,lumiere.obs.coe.int,57627
180630100,Minions,allocine.fr/movie,210493
180630100,Minions,itv.com,2/4738/0001
180630100,Minions,the-numbers.com/movie,Minions
180630100,Minions,EIDR,10.5240/4381-3726-3283-2E65-855B-X
